search URL:,https://patents.google.com/?q=CPC%253dA63B59%252f40&clustered=true
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-29911049-U1,table tennis racket ,Perseus Co Ltd,,1999-06-24,1999-06-24,1999-09-02,,https://patents.google.com/patent/DE29911049U1/en,
DE-10151742-A1,Racket for all the usual types of ball games comprises two hitting surfaces at a distance from each other ,Dieter Moerlein,Dieter Moerlein,2000-11-14,2001-10-19,2002-08-08,,https://patents.google.com/patent/DE10151742A1/en,
US-2080642-A,Rubber strung racket ,Atwood M Timpe,Atwood M Timpe,1935-06-05,1935-06-05,1937-05-18,1937-05-18,https://patents.google.com/patent/US2080642A/en,https://patentimages.storage.googleapis.com/11/85/6f/16bf0dd3c95431/US2080642-drawings-page-1.png
US-2665908-A,Table tennis bat ,Howard E Gray,Howard E Gray,1952-03-21,1952-03-21,1954-01-12,1954-01-12,https://patents.google.com/patent/US2665908A/en,https://patentimages.storage.googleapis.com/0c/a3/c7/88b199312f76ec/US2665908-drawings-page-1.png
AU-468905-B2,Apparatus for playing a ball game ,L. SANDOR and AGNES MARY RING BENJAMIN,L. SANDOR and AGNES MARY RING BENJAMIN,1973-08-21,1973-08-21,1976-01-29,1976-01-29,https://patents.google.com/patent/AU468905B2/en,
US-6168541-B1,Illuminated ping pong ,Kirk Gibbs,Kirk Gibbs,1997-05-30,1997-05-30,2001-01-02,2001-01-02,https://patents.google.com/patent/US6168541B1/en,https://patentimages.storage.googleapis.com/db/a9/7c/b803e52e6dc6cb/US6168541-drawings-page-2.png
US-3059927-A,Ball game ,Arthur J Kamp,Arthur J Kamp,1960-10-19,1960-10-19,1962-10-23,1962-10-23,https://patents.google.com/patent/US3059927A/en,https://patentimages.storage.googleapis.com/07/e7/c7/43e2149e18d8bd/US3059927-drawings-page-1.png
FR-765313-A,Ping pong paddle ,,Bernard,1933-12-09,1933-12-09,1934-06-08,1934-06-08,https://patents.google.com/patent/FR765313A/en,
FR-940207-A,Ping pong paddle ,John O Greensmith Ltd,,1946-01-29,1947-01-30,1948-12-07,1948-12-07,https://patents.google.com/patent/FR940207A/en,
ES-2194568-B1,ARTIFACT OF ADJUSTABLE HIT TO THE PALM OF THE HAND. ,"Loic Colodron Sesemann, Juan Jose Borrell Botella","Loic Colodron Sesemann, Juan Jose Borrell Botella",2001-01-08,2001-01-08,2005-02-16,2005-02-16,https://patents.google.com/patent/ES2194568B1/en,
US-3997161-A,Table-tennis bat ,Paul Lemke Fabrik Fur Sportartikel-Export,"Paul Lemke, Jr.",1973-08-06,1974-08-06,1976-12-14,1976-12-14,https://patents.google.com/patent/US3997161A/en,https://patentimages.storage.googleapis.com/d3/11/4e/c98cd4cea06a60/US3997161-drawings-page-2.png
US-2205578-A,Bat ,Becker & Company P,William V Schnur,1940-02-07,1940-02-07,1940-06-25,1940-06-25,https://patents.google.com/patent/US2205578A/en,https://patentimages.storage.googleapis.com/9a/ea/a7/c6a98183919a7e/US2205578-drawings-page-1.png
US-2311546-A,Table tennis racket ,Us Rubber Co,Victor H Hurt,1940-12-21,1940-12-21,1943-02-16,1943-02-16,https://patents.google.com/patent/US2311546A/en,https://patentimages.storage.googleapis.com/3d/d3/59/031a61141c1f35/US2311546-drawings-page-1.png
US-703519-A,Racket. ,Arnold Becker,Arnold Becker,1902-04-17,1902-04-17,1902-07-01,1902-07-01,https://patents.google.com/patent/US703519A/en,https://patentimages.storage.googleapis.com/40/b3/fc/29cea9357721c7/US703519-drawings-page-1.png
FR-802060-A,Game palette ,,Jean Rene Lacoste,1935-05-10,1935-05-10,1936-08-26,1936-08-26,https://patents.google.com/patent/FR802060A/en,
FR-2970876-B1,"TABLE TENNIS RACKET COATING, MANUFACTURING METHOD, AND TABLE TENNIS RACKET ",Cornilleau Sas,"Stephane Mithieux, Nicolas Havard",2011-02-02,2011-02-02,2018-12-07,2018-12-07,https://patents.google.com/patent/FR2970876B1/en,
WO-2013011260-A1,Table tennis bat ,Cheung Yung Ken,Yung Ken CHEUNG,2011-07-21,2012-07-19,2013-01-24,,https://patents.google.com/patent/WO2013011260A1/en,
GB-445374-A,Improved apparatus for use in playing a table game ,"Roberts Bros Gloucester Ltd, Bert Butler",,1934-12-07,1934-12-07,1936-04-08,,https://patents.google.com/patent/GB445374A/en,
US-1986154-A,Table tennis racket ,Marks Isidore,Marks Isidore,1933-09-28,1933-09-28,1935-01-01,1935-01-01,https://patents.google.com/patent/US1986154A/en,https://patentimages.storage.googleapis.com/6e/ca/ee/98d1e7133eee6d/US1986154-drawings-page-1.png
BE-494299-A,Patent BE494299A ,,,,,1900-01-01,,https://patents.google.com/patent/BE494299A/en,
DE-2007740-A1,Foam plastics table tennis bat ,,,1970-02-19,1970-02-19,1971-09-09,,https://patents.google.com/patent/DE2007740A1/en,
GB-2299946-A,Game apparatus ,Graham David Bloy,Graham David Bloy,1995-04-18,1995-04-18,1996-10-23,,https://patents.google.com/patent/GB2299946A/en,
US-4900022-A,Tabletop ball game and equipment ,Carlo Maggio,Carlo Maggio,1987-08-18,1987-08-18,1990-02-13,1990-02-13,https://patents.google.com/patent/US4900022A/en,https://patentimages.storage.googleapis.com/pages/US4900022-1.png
US-1253772-A,Toy. ,Peter J Bertucci,Peter J Bertucci,1917-04-19,1917-04-19,1918-01-15,1918-01-15,https://patents.google.com/patent/US1253772A/en,https://patentimages.storage.googleapis.com/ae/5d/53/4221d2586e1988/US1253772-drawings-page-1.png
US-2156477-A,Table tennis racket ,Anton M Keller,Anton M Keller,1937-01-14,1937-11-19,1939-05-02,1939-05-02,https://patents.google.com/patent/US2156477A/en,https://patentimages.storage.googleapis.com/7d/71/f4/ee0028ed3745f1/US2156477-drawings-page-1.png
DE-29810077-U1,Play surface for a table tennis racket ,Perseus Co Ltd,,1998-06-05,1998-06-05,1998-08-20,,https://patents.google.com/patent/DE29810077U1/en,
FR-2798594-A1,Compact racket for ball game comprises single body forming striking plane and integral handle ,Gilles Rolland,Gilles Rolland,1999-09-22,1999-09-22,2001-03-23,,https://patents.google.com/patent/FR2798594A1/en,
DE-2414284-A1,"Table-tennis bat with foamed silicon-rubber faces - on a compound middle section composed of a light, hard foam between sheets of laminate ",Gerhard Desor,Gerhard Desor,1974-03-25,1974-03-25,1975-10-16,,https://patents.google.com/patent/DE2414284A1/en,
CN-112121380-A,Edge protecting strip for pickles ,张敏,张敏,2020-10-28,2020-10-28,2020-12-25,,https://patents.google.com/patent/CN112121380A/en,
GB-2348875-B,Lightweight composites (LWCC) ,Mahmoud Salem,Mahmoud Salem,1999-04-17,2000-02-22,2003-11-26,2003-11-26,https://patents.google.com/patent/GB2348875B/en,
DE-9310912-U1,Table tennis racket with vibration-dampened handle ,Ehrentraut Horst,,1993-07-21,1993-07-21,1993-11-11,,https://patents.google.com/patent/DE9310912U1/en,
GB-607255-A,An improved ping pong bat ,John Oliver Greensmith,,1946-01-29,1946-01-29,1948-08-27,,https://patents.google.com/patent/GB607255A/en,
DE-1800672-A1,Table tennis racket ,Carlton Tyre Saving Co Ltd,Calton William Charles,1968-10-02,1968-10-02,1970-06-04,,https://patents.google.com/patent/DE1800672A1/en,
US-2003013564-A1,Table tennis paddle ,Mcdaniel Donald Wesley,Donald McDaniel,2001-07-13,2001-07-13,2003-01-16,,https://patents.google.com/patent/US20030013564A1/en,https://patentimages.storage.googleapis.com/e6/72/aa/c40e2751fe87d0/US20030013564A1-20030116-D00000.png
US-717504-A,Parlor-tennis racket. ,Henry W Longfellow Jr,Henry W Longfellow Jr,1902-10-13,1902-10-13,1902-12-30,1902-12-30,https://patents.google.com/patent/US717504A/en,https://patentimages.storage.googleapis.com/d8/56/f5/2614f8445d68ee/US717504-drawings-page-1.png
US-6257996-B1,Roofball ,"Lukens, Inc.",William W. Lukens,1999-11-19,1999-11-19,2001-07-10,2001-07-10,https://patents.google.com/patent/US6257996B1/en,https://patentimages.storage.googleapis.com/26/6d/a7/6ea453af1fca89/US6257996-drawings-page-3.png
EP-0777512-B1,Table-tennis bat with a handle ,Joachim Kuhn,Joachim Kuhn,1994-08-23,1995-08-18,1998-06-10,1998-06-10,https://patents.google.com/patent/EP0777512B1/en,https://patentimages.storage.googleapis.com/8a/87/9c/d0981349f5bb3c/00270001.png
US-5139258-A,Paddle ball racquet ,Party Pong Inc.,Stephen F. McPoyle,1992-01-31,1992-01-31,1992-08-18,1992-08-18,https://patents.google.com/patent/US5139258A/en,https://patentimages.storage.googleapis.com/64/f5/b8/3995e549f17c8d/US5139258-drawings-page-2.png
US-5074554-A,Game apparatus utilizing a striking member having dual hand grips and triple paddles ,Ramon Jr Armando,"Armando Ramon, Jr.",1987-08-03,1990-12-06,1991-12-24,1991-12-24,https://patents.google.com/patent/US5074554A/en,https://patentimages.storage.googleapis.com/f7/e1/57/bdea3db8905d5b/US5074554-drawings-page-2.png
US-3674266-A,Double-ended ball paddle ,Friedman & Goodman,Sam Grosberg,1970-03-05,1970-03-05,1972-07-04,1972-07-04,https://patents.google.com/patent/US3674266A/en,https://patentimages.storage.googleapis.com/41/eb/bb/5b6de7a06876ad/US3674266-drawings-page-2.png
DE-2261960-A1,TABLE TENNIS HAND STRACKS ,Rolf Merkle,Rolf Merkle,1972-12-18,1972-12-18,1974-06-27,,https://patents.google.com/patent/DE2261960A1/en,
DE-20105753-U1,Table tennis rubber press ,Schneider Michael,,2001-04-02,2001-04-02,2001-08-30,,https://patents.google.com/patent/DE20105753U1/en,
DE-19518404-A1,Grip for table tennis bat ,Joachim Dr Kuhn,Joachim Dr Kuhn,1995-05-19,1995-05-19,1996-11-21,,https://patents.google.com/patent/DE19518404A1/en,
DE-10065596-A1,Table tennis bat with one or more layers incorporates adhesive means which comprise at least a nonreactive adhesive and/or a reactive adhesive for joining adjacent layers and sub-layers to one another ,Achim Rendler,"Achim Rendler, Eugen Rendler",2000-12-28,2000-12-28,2002-07-11,,https://patents.google.com/patent/DE10065596A1/en,
DE-29621948-U1,Table tennis racket handle with hollow chamber ,Sunflex Sport Schnellbuegel &,,1996-12-18,1996-12-18,1997-03-27,,https://patents.google.com/patent/DE29621948U1/en,
US-5312101-A,Table tennis paddle ,Donald W. McDaniel,Don W. McDaniel,1992-06-01,1992-06-01,1994-05-17,1994-05-17,https://patents.google.com/patent/US5312101A/en,https://patentimages.storage.googleapis.com/32/fe/12/fabc095a7e719a/US5312101-drawings-page-2.png
GB-2030871-B,Game paddle ,Castelli B,,1978-10-05,1979-03-30,1982-10-27,1982-10-27,https://patents.google.com/patent/GB2030871B/en,
DE-20012035-U1,Table tennis wood ,Sing Wo Sports Ltd,,2000-07-11,2000-07-11,2000-12-07,,https://patents.google.com/patent/DE20012035U1/en,
DE-29920267-U1,Device for removing adhesive residues ,Sing Wo Sports Ltd,,1999-11-18,1999-11-18,2000-02-24,,https://patents.google.com/patent/DE29920267U1/en,
DE-19721249-A1,Table tennis bat with rubber-coated hitting part ,"Chen Chih Jung, Hsu Chang Hua","Chih-Jung Chen, Chang-Hua Hsu",1997-05-14,1997-05-14,1998-11-19,,https://patents.google.com/patent/DE19721249A1/en,
FR-2733919-A1,Bat for playing with ball without handle ,Rolland Gilles,,1995-05-10,1995-05-10,1996-11-15,,https://patents.google.com/patent/FR2733919A1/en,
DE-3826986-C2,Patent DE3826986C2 ,Jean Werner 8911 Windach De Dequet,Jean Werner 8911 Windach De Dequet,1988-08-09,1988-08-09,1991-08-01,1991-08-01,https://patents.google.com/patent/DE3826986C2/en,
US-2147110-A,Racket for table tennis and similar games ,Byron C Schmid,Byron C Schmid,1938-04-19,1938-04-19,1939-02-14,1939-02-14,https://patents.google.com/patent/US2147110A/en,https://patentimages.storage.googleapis.com/36/2b/df/73a96219c4d920/US2147110-drawings-page-1.png
FR-952859-A,Table tennis racket ,Delasson Dossunet Ets,,1947-09-10,1947-09-10,1949-11-25,1949-11-25,https://patents.google.com/patent/FR952859A/en,
FR-1083955-A,Ping-pong racket training ,,Jean Pruliere,1953-09-23,1953-09-23,1955-01-14,1955-01-14,https://patents.google.com/patent/FR1083955A/en,
FR-758899-A,Palette improvements ,,Andres Aseguinolaza,1933-07-26,1933-07-26,1934-01-24,1934-01-24,https://patents.google.com/patent/FR758899A/en,
US-2293312-A,Table-tennis bat ,James L Sewell,James L Sewell,1940-02-16,1940-02-16,1942-08-18,1942-08-18,https://patents.google.com/patent/US2293312A/en,https://patentimages.storage.googleapis.com/a5/62/ad/53693f0e99c6a1/US2293312-drawings-page-1.png
KR-20000021440-U,Pingpong racket ,주명수,주명수,1999-05-27,1999-05-27,2000-12-26,,https://patents.google.com/patent/KR20000021440U/en,
GB-2200290-A,Table tennis bat ,Kwong Ming Wu,Kwong Ming Wu,1986-11-21,1986-11-21,1988-08-03,,https://patents.google.com/patent/GB2200290A/en,
KR-20000003121-A,Ping-pong racket ,고종석,고종석,1998-06-26,1998-06-26,2000-01-15,,https://patents.google.com/patent/KR20000003121A/en,
GB-834280-A,Improvements in or relating to table tennis rackets ,Rudolf Willi Berndt,,1956-10-17,1956-10-17,1960-05-04,,https://patents.google.com/patent/GB834280A/en,
KR-20050103142-A,The racket for the ball ,정한근,정한근,2004-12-09,2004-12-09,2005-10-27,,https://patents.google.com/patent/KR20050103142A/en,
DE-102010047064-A1,"Table tennis racket made of weather-proof material, comprises a slip-resistance striking surface made of weather-proof thermoplastic elastomer, on which several conical/rounded capped knobs are formed ",Joachim Josef Nolte,Anmelder Gleich,2010-10-01,2010-10-01,2012-04-05,,https://patents.google.com/patent/DE102010047064A1/en,https://patentimages.storage.googleapis.com/2d/f1/2f/356d94488139f2/00030000.png
GB-2380684-A,Grip for a table tennis bat ,"Paul Perks, Georgiana Wong","Paul Perks, Georgiana Wong",2001-10-12,2001-10-12,2003-04-16,,https://patents.google.com/patent/GB2380684A/en,
KR-20120078776-A,Rotating games table ,김재규,김재규,2011-01-02,2011-01-02,2012-07-11,,https://patents.google.com/patent/KR20120078776A/en,https://patentimages.storage.googleapis.com/9d/af/c2/510aff3eab4ad8/pat00001.png
GB-1516807-A,Bat for playing a ball game ,"Sandors B, Ring A",,1976-05-25,1976-05-25,1978-07-05,,https://patents.google.com/patent/GB1516807A/en,
DE-10206975-A1,"Table tennis bat, comprising main area incorporating at least one perforated layer ",Bjoern Olaf Schuett,Bjoern Olaf Schuett,2002-02-20,2002-02-20,2003-09-04,,https://patents.google.com/patent/DE10206975A1/en,
GB-667020-A,Improvements in or relating to table tennis bats ,John Small,,1949-02-19,1949-02-19,1952-02-20,,https://patents.google.com/patent/GB667020A/en,
US-2640698-A,Table tennis bat ,George H Forsyth,George H Forsyth,1950-03-27,1950-03-27,1953-06-02,1953-06-02,https://patents.google.com/patent/US2640698A/en,https://patentimages.storage.googleapis.com/4f/8a/2a/7d26ede9ca1ad0/US2640698-drawings-page-1.png
GB-648034-A,Improvements in or relating to table tennis and like bats ,"Halex Ltd, Sydney William Snell",,1948-11-10,1948-11-10,1950-12-28,,https://patents.google.com/patent/GB648034A/en,
JP-2603604-B2,grip ,チィエン トゥ,チィエン トゥ,1987-02-21,1988-02-22,1997-04-23,1997-04-23,https://patents.google.com/patent/JP2603604B2/en,
CN-1221295-C,Table tennis bat ,成和体育用品有限公司,米夏埃尔·施奈德,2000-07-12,2001-07-05,2005-10-05,2005-10-05,https://patents.google.com/patent/CN1221295C/en,
GB-455529-A,Improvements in table tennis bats ,Herbert Henry John Haley,,1935-09-30,1935-09-30,1936-10-22,,https://patents.google.com/patent/GB455529A/en,
FR-1246701-A,Table tennis racket ,,Andre-Robert-Marie Morin,1946-06-05,1946-06-05,1960-11-25,1960-11-25,https://patents.google.com/patent/FR1246701A/en,
GB-333950-A,Improvements in and relating to appliances for playing a new or improved game ,"Herbert Arnold Rimmer, Joseph Bunnell Blossom",,1929-05-28,1929-05-28,1930-08-28,,https://patents.google.com/patent/GB333950A/en,
DE-3107681-A1,Table tennis test bat collection ,Sport Schreiner Karl Heinz Sch,,1981-02-28,1981-02-28,1982-09-23,,https://patents.google.com/patent/DE3107681A1/en,
DE-3030214-A1,Multiple layer table tennis bat - has plywood covered each side by resilient honeycomb patterned layer and thin outer skin ,Praezisions Gummifabrik Georg,Georg Maerz,1980-08-09,1980-08-09,1982-03-18,,https://patents.google.com/patent/DE3030214A1/en,
GB-1556604-A,Pile survace material ,Ici Ltd,,1975-07-14,1975-07-14,1979-11-28,,https://patents.google.com/patent/GB1556604A/en,
CN-111420375-B,Ultra-light amorphous reinforced carbon fiber table tennis bat and preparation method thereof ,东莞市博恩碳纤维制品科技有限公司,"何亮, 谢盛辉, 刘栋材",2020-04-03,2020-04-03,2021-06-22,2021-06-22,https://patents.google.com/patent/CN111420375B/en,
CN-111388973-B,Table tennis bat ,刘少敏,刘少敏,2020-04-03,2020-04-03,2021-06-29,2021-06-29,https://patents.google.com/patent/CN111388973B/en,
GB-592005-A,Improvements in or relating to bats for table tennis ,William Wright,,,1944-10-26,1947-09-04,,https://patents.google.com/patent/GB592005A/en,
GB-693280-A,Pingpong rackets ,Rikizo Harada,,1951-05-16,1952-04-10,1953-06-24,,https://patents.google.com/patent/GB693280A/en,
GB-378503-A,Improvements in implements for playing an improved game of skill ,Robert Douglas Ogden,,1931-05-14,1931-05-14,1932-08-15,,https://patents.google.com/patent/GB378503A/en,
DE-2931521-A1,Table tennis bat assembly - consists of plywood with layers leading into blade and having plywood layers with varying grain directions ,Wolf & Sohn Kg Peter,James V Heiloway,1979-08-03,1979-08-03,1981-02-19,,https://patents.google.com/patent/DE2931521A1/en,
US-10371481-B2,Tactile biofeedback reference attachment ,Lanny L. Johnson,Lanny L. Johnson,2012-02-21,2019-02-04,2019-08-06,2019-08-06,https://patents.google.com/patent/US10371481B2/en,https://patentimages.storage.googleapis.com/41/81/8c/84f028dd72adb4/US10371481-20190806-D00000.png
KR-102091827-B1,Swing accuracy and change discriminating device of table tennis racket ,주식회사 고고탁,김상경,2018-12-19,2018-12-19,2020-03-20,2020-03-20,https://patents.google.com/patent/KR102091827B1/en,https://patentimages.storage.googleapis.com/e5/df/5d/fe3dacc8a281ef/112018127909876-pat00001.png
DE-4430475-A1,"Method of adhesively bonding two elements consisting of wood or a wooden material to one another, application of the method, and table tennis bat ",Michael Schneider,Michael Schneider,1993-09-01,1994-08-27,1995-03-23,,https://patents.google.com/patent/DE4430475A1/en,
DE-10033236-A1,"Method and appliance for delaying degasification involve container with top and bottom parts, valve flow duct as condenser. ",Sunflex Sport Schnellbuegel &,Michael Schneider,2000-07-10,2000-07-10,2002-01-24,,https://patents.google.com/patent/DE10033236A1/en,
BE-905251-A,Table tennis bat held by fingers through hole in plate - has plate forming hitting surface and hole is off-centred with respect to centre of gravity ,Fokschaner Rene,,1986-08-08,1986-08-08,1986-12-01,,https://patents.google.com/patent/BE905251A/en,
JP-H0731702-A,Racket for table tennis ,"Tamasu:Kk, 株式会社タマス","Kimihiko Tamasu, 田舛公彦",1993-07-21,1993-07-21,1995-02-03,,https://patents.google.com/patent/JPH0731702A/en,
WO-9300969-A1,A frame for table-tennis bats ,Brendling Lennart I,Lennart Ingvar Brendling,1991-07-05,1992-06-26,1993-01-21,,https://patents.google.com/patent/WO1993000969A1/en,
CH-259149-A,Ping pong paddle. ,Limited John O Greensmith,Limited John O Greensmith,1946-01-29,1947-01-24,1949-01-15,,https://patents.google.com/patent/CH259149A/en,
CN-107899225-B,Table tennis serving score identification method based on motion trail ,杭州乾博科技有限公司,"严军荣, 卢玉龙, 陈彦琦",2017-11-03,2017-11-03,2020-06-30,2020-06-30,https://patents.google.com/patent/CN107899225B/en,
KR-20130117196-A,Improve table tennis racket ,최상혁,최상혁,2012-04-18,2012-04-18,2013-10-25,,https://patents.google.com/patent/KR20130117196A/en,https://patentimages.storage.googleapis.com/1a/3c/90/17a05fe45305a9/pat00002.png
FR-967300-A,Advanced table tennis racket ,,Andre-Robert-Marie Morin,1948-05-28,1948-05-28,1950-10-30,1950-10-30,https://patents.google.com/patent/FR967300A/en,
US-5294114-A,Game paddle and combination ,"Oddzon Products, Inc.",Scott H. Stillinger,1990-12-21,1992-12-10,1994-03-15,1994-03-15,https://patents.google.com/patent/US5294114A/en,https://patentimages.storage.googleapis.com/21/0c/39/0093035e435739/US5294114-drawings-page-2.png
FR-2416022-A1,Handle for sports racquet - is extended by wider part fitting over body of racquet ,Rollet Claude,,1978-02-03,1978-02-03,1979-08-31,,https://patents.google.com/patent/FR2416022A1/en,
FR-781583-A,Ping-pong rackets and the like ,,"Charles Fritsch, Dominique Petel",1934-01-16,1934-11-20,1935-05-18,1935-05-18,https://patents.google.com/patent/FR781583A/en,
US-1930281-A,Implement for playing an improved game of skill ,Ogden Robert Douglas,Ogden Robert Douglas,1931-05-14,1932-04-21,1933-10-10,1933-10-10,https://patents.google.com/patent/US1930281A/en,https://patentimages.storage.googleapis.com/af/96/87/d4b89c37c74c29/US1930281-drawings-page-1.png
GB-766106-A,Table tennis bat and method of assembly ,Henry Lamar Sistrunk,,1955-03-25,1955-03-25,1957-01-16,,https://patents.google.com/patent/GB766106A/en,
US-4318875-A,Process for the production of cellular elastomeric compositions and compositions obtained thereby ,Dunlop Limited,"Ronald H. Shrimpton, Peter L. Cooney",1979-02-17,1980-11-26,1982-03-09,1982-03-09,https://patents.google.com/patent/US4318875A/en,
US-10207164-B2,Waterproof racket ,"Huang-Keng HSU, Chin-yih Chen","Huang-Keng HSU, Chin-yih Chen",2016-08-04,2016-08-04,2019-02-19,2019-02-19,https://patents.google.com/patent/US10207164B2/en,https://patentimages.storage.googleapis.com/f4/76/3e/8ad7fb80fff4dc/US10207164-20190219-D00000.png
US-4131278-A,Game racket with semi-resilient impact surfaces and an offset handle ,"Pap-Et, Inc.",Joseph Goldenberg,1977-06-07,1977-06-07,1978-12-26,1978-12-26,https://patents.google.com/patent/US4131278A/en,https://patentimages.storage.googleapis.com/01/e6/c2/8b1528d4f30091/US4131278-drawings-page-2.png
FR-3052675-B1,TABLE TENNIS RACKET ,Veso Concept,David Hardy,2016-06-15,2016-06-15,2019-07-19,2019-07-19,https://patents.google.com/patent/FR3052675B1/en,
US-6461259-B1,Table tennis bat with adjusting gravity mechanism ,Kuang Tsu Li,Kuang Tsu Li,2000-09-13,2001-09-10,2002-10-08,2002-10-08,https://patents.google.com/patent/US6461259B1/en,https://patentimages.storage.googleapis.com/d7/f3/ce/e169497effb9aa/US06461259-20021008-D00000.png
GB-977952-A,A game ,Latham Peter Alexander,,1963-02-18,1963-02-18,1964-12-16,,https://patents.google.com/patent/GB977952A/en,
CN-105617629-A,Palm-type ping-pong bat ,陈德荣,陈德荣,2016-02-16,2016-02-16,2016-06-01,,https://patents.google.com/patent/CN105617629A/en,
CN-107261442-A,Countable table tennis bat ,枣阳市实验中学,高佳赢,2016-04-06,2016-04-06,2017-10-20,,https://patents.google.com/patent/CN107261442A/en,
CN-107456738-A,A kind of Multifunctional table tennis bat ,百色学院,"覃铭, 古斌, 杨途才, 张耀",2016-06-03,2016-06-03,2017-12-12,,https://patents.google.com/patent/CN107456738A/en,
US-2020061430-A1,"Ball Game Equipment Kit, Field Layouts, and Methods for Playing the Ball Game Thereof ",Harry Wong,Harry Wong,2018-08-22,2019-08-21,2020-02-27,,https://patents.google.com/patent/US20200061430A1/en,https://patentimages.storage.googleapis.com/d7/4b/23/b5491bd573de59/US20200061430A1-20200227-D00000.png
CN-107773934-A,A kind of table tennis bat of band score disk ,张鹏美,张鹏美,2016-08-25,2016-08-25,2018-03-09,,https://patents.google.com/patent/CN107773934A/en,
US-2020054927-A1,Ball Game ,Pandia C. Ralli,Pandia C. Ralli,2018-08-14,2019-07-23,2020-02-20,,https://patents.google.com/patent/US20200054927A1/en,https://patentimages.storage.googleapis.com/95/a6/cb/03bb2168ecd5ba/US20200054927A1-20200220-D00000.png
US-2020360780-A1,Shock-absorbing handle structure for sports racquet ,Feng-Yu Lee,Feng-Yu Lee,2019-05-17,2019-05-17,2020-11-19,,https://patents.google.com/patent/US20200360780A1/en,https://patentimages.storage.googleapis.com/9d/42/97/a4c678eec13032/US20200360780A1-20201119-D00000.png
CN-107773933-A,A kind of tennis racket with scoring functions ,张鹏美,张鹏美,2016-08-25,2016-08-25,2018-03-09,,https://patents.google.com/patent/CN107773933A/en,
WO-2014021579-A1,Table tennis racket protection cap and tablet tennis racket having same attached thereto ,Jung Myung Sun,정명선,2012-07-30,2013-07-24,2014-02-06,,https://patents.google.com/patent/WO2014021579A1/en,https://patentimages.storage.googleapis.com/7e/93/de/0dd65ea322d9ce/PCTKR2013006647-appb-D000001.png
CN-106390401-A,Novel table tennis ball tube ,苏州圣艺文体用品有限公司,孙生强,2016-11-11,2016-11-11,2017-02-15,,https://patents.google.com/patent/CN106390401A/en,
CN-108114439-A,The table tennis bat of audible music ,襄阳市第四十二中学,路宇翔,2016-11-26,2016-11-26,2018-06-05,,https://patents.google.com/patent/CN108114439A/en,
CN-111282229-A,Table tennis bat with lamp ,襄阳市第四十二中学,范涵博,2016-11-26,2016-11-26,2020-06-16,,https://patents.google.com/patent/CN111282229A/en,
CN-111282230-A,Table tennis bat with Bluetooth ,襄阳市第四十二中学,谢健康,2016-11-27,2016-11-27,2020-06-16,,https://patents.google.com/patent/CN111282230A/en,
DE-9313173-U1,Table tennis wood ,Schneider Michael,,1993-09-01,1993-09-01,1995-01-12,,https://patents.google.com/patent/DE9313173U1/en,
GR-1009390-B,Beach racket ,"Κωνσταντινος Θωμα Καρατσιωρης, Στεργιος Παυλου Τσαρτσαλης","Κωνσταντινος Θωμα Καρατσιωρης, Στεργιος Παυλου Τσαρτσαλης",2017-05-24,2017-05-24,2018-10-25,,https://patents.google.com/patent/GR1009390B/en,
DE-4027924-C1,Patent DE4027924C1 ,Frank 4630 Bochum De Anhalt,Frank 4630 Bochum De Anhalt,1990-09-04,1990-09-04,1991-06-06,1991-06-06,https://patents.google.com/patent/DE4027924C1/en,
KR-20180093229-A,Integral a ping-pong paddle ,김종연,김종연,2017-02-11,2017-02-11,2018-08-21,,https://patents.google.com/patent/KR20180093229A/en,https://patentimages.storage.googleapis.com/47/dc/90/051643eb378956/pat00001.png
US-4324400-A,Table tennis bat blade ,"Est Industries, Inc.",Jackson Tse,1979-08-08,1979-08-08,1982-04-13,1982-04-13,https://patents.google.com/patent/US4324400A/en,https://patentimages.storage.googleapis.com/83/09/86/098f8f8875f33b/US4324400-drawings-page-2.png
US-3879035-A,Paddle ball racquet construction ,Aluminum Co Of America,"James E Danchulis, Jr Paul B Rankin",1972-09-28,1972-09-28,1975-04-22,1975-04-22,https://patents.google.com/patent/US3879035A/en,https://patentimages.storage.googleapis.com/05/2b/fb/30899b3585f4fb/US3879035-drawings-page-2.png
CA-1099760-A,Framed net with ball receiving receptacle for use with golf-like paddle game ,"E. Gaston Fauteux, Philippe Lauzon","E. Gaston Fauteux, Philippe Lauzon",1977-09-15,1977-09-15,1981-04-21,1981-04-21,https://patents.google.com/patent/CA1099760A/en,
GB-438161-A,A bat for table tennis and similar games or sports ,Albert George Widdowson Ratcli,,1934-10-23,1934-10-23,1935-11-12,,https://patents.google.com/patent/GB438161A/en,
DE-1687705-U,BALL STACKER WITH HOLDING DEVICE FOR A HANDLE TAPE. ,Friedrich Wilhelm Mueller,Friedrich Wilhelm Mueller,1954-08-14,1954-08-14,1954-11-25,,https://patents.google.com/patent/DE1687705U/en,
US-2011185-A,Table tennis bat ,Table Tennis Corp Of America,"George H Perryman, Andrew J Macutchan",1934-06-06,1934-06-06,1935-08-13,1935-08-13,https://patents.google.com/patent/US2011185A/en,https://patentimages.storage.googleapis.com/64/be/6d/d739cae0e8c4dc/US2011185-drawings-page-1.png
